Catégorie : Toutes catégories

Mois,Paris: (Dans tous les pays)
2004-01,52
2004-02,53
2004-03,53
2004-04,53
2004-05,50
2004-06,53
2004-07,51
2004-08,47
2004-09,54
2004-10,52
2004-11,49
2004-12,48
2005-01,52
2005-02,55
2005-03,54
2005-04,54
2005-05,52
2005-06,53
2005-07,53
2005-08,45
2005-09,51
2005-10,51
2005-11,49
2005-12,44
2006-01,46
2006-02,48
2006-03,50
2006-04,48
2006-05,48
2006-06,47
2006-07,47
2006-08,43
2006-09,50
2006-10,50
2006-11,46
2006-12,44
2007-01,47
2007-02,48
2007-03,48
2007-04,47
2007-05,47
2007-06,49
2007-07,47
2007-08,41
2007-09,48
2007-10,47
2007-11,44
2007-12,42
2008-01,43
2008-02,43
2008-03,46
2008-04,44
2008-05,43
2008-06,43
2008-07,42
2008-08,38
2008-09,46
2008-10,44
2008-11,41
2008-12,41
2009-01,43
2009-02,41
2009-03,43
2009-04,43
2009-05,41
2009-06,44
2009-07,42
2009-08,38
2009-09,44
2009-10,43
2009-11,42
2009-12,40
2010-01,42
2010-02,42
2010-03,43
2010-04,43
2010-05,42
2010-06,40
2010-07,40
2010-08,37
2010-09,45
2010-10,43
2010-11,41
2010-12,41
2011-01,41
2011-02,40
2011-03,40
2011-04,40
2011-05,40
2011-06,42
2011-07,39
2011-08,36
2011-09,39
2011-10,38
2011-11,36
2011-12,36
2012-01,37
2012-02,36
2012-03,37
2012-04,37
2012-05,35
2012-06,37
2012-07,36
2012-08,32
2012-09,38
2012-10,37
2012-11,33
2012-12,33
2013-01,35
2013-02,34
2013-03,35
2013-04,35
2013-05,36
2013-06,35
2013-07,34
2013-08,31
2013-09,35
2013-10,35
2013-11,34
2013-12,31
2014-01,33
2014-02,32
2014-03,36
2014-04,35
2014-05,34
2014-06,34
2014-07,34
2014-08,31
2014-09,34
2014-10,34
2014-11,32
2014-12,32
2015-01,44
2015-02,31
2015-03,33
2015-04,34
2015-05,32
2015-06,33
2015-07,33
2015-08,31
2015-09,33
2015-10,33
2015-11,100
2015-12,30
2016-01,32
2016-02,32
2016-03,34
2016-04,33
2016-05,34
2016-06,36
2016-07,31
2016-08,27
2016-09,32
2016-10,31
2016-11,30
2016-12,30
2017-01,31
2017-02,32
2017-03,34
2017-04,34
2017-05,32
2017-06,35
2017-07,33
2017-08,30
2017-09,34
2017-10,33
2017-11,31
2017-12,31
2018-01,33
2018-02,34
2018-03,33
2018-04,33
2018-05,34
2018-06,33
2018-07,33
2018-08,30
2018-09,34
2018-10,35
2018-11,33
2018-12,34
2019-01,33
2019-02,33
2019-03,34
2019-04,47
2019-05,34
2019-06,38
2019-07,34
2019-08,31
2019-09,37
2019-10,37
2019-11,34
2019-12,34
